
2024/04/11 (00:08:47) | ===> btop++ v.1.2.13
2024/04/11 (00:08:47) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/04/11 (00:08:50) | ===> btop++ v.1.2.13
2024/04/11 (00:08:50) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/04/12 (19:45:07) | ===> btop++ v.1.2.13
2024/04/12 (19:45:07) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/04/12 (19:47:59) | ===> btop++ v.1.2.13
2024/04/12 (19:47:59) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/04/12 (19:48:23) | ===> btop++ v.1.2.13
2024/04/12 (19:48:23) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/04/12 (19:48:26) | ===> btop++ v.1.2.13
2024/04/12 (19:48:26) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/04/12 (19:48:34) | ===> btop++ v.1.2.13
2024/04/12 (19:48:34) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/04/12 (19:48:50) | ===> btop++ v.1.2.13
2024/04/12 (19:48:50) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/04/12 (19:53:33) | ===> btop++ v.1.2.13
2024/04/12 (19:53:33) | DEBUG: Starting in DEBUG mode!
2024/04/12 (19:53:33) | INFO: Logger set to DEBUG
2024/04/12 (19:53:33) | DEBUG: Using locale en_US.UTF-8
2024/04/12 (19:53:33) | INFO: Running on /dev/pts/1
2024/04/12 (19:53:33) | ERROR: Exception in runner thread -> Cpu:: -> key not found
2024/04/12 (19:53:33) | INFO: Quitting! Runtime: 00:00:00

2024/04/12 (20:02:10) | ===> btop++ v.1.2.13
2024/04/12 (20:02:10) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/04/13 (23:48:26) | ===> btop++ v.1.2.13
2024/04/13 (23:48:26) | ERROR: Exception in runner thread -> Cpu:: -> key not found

2024/05/04 (22:33:06) | ===> btop++ v.1.3.2
2024/05/04 (22:33:06) | ERROR: Exception during Config::unlock() : unordered_map::at
